id,place_name,city,state,zone,place_type,category,significance,rating,review_count_lakhs,entrance_fee_inr,visit_duration_hrs,airport_nearby,dslr_allowed,weekly_off,best_time_of_day,established_year,latitude,longitude,interest_tags,adventure_score,culture_score,nature_score,relaxation_score,food_social_score
1,India Gate,Delhi,Delhi,Northern,War Memorial,Heritage,Historical,4.6,2.6,0,0.5,Yes,Yes,,Evening,1921,28.612912,77.2295097,Cultural & Heritage Sites,0,7,0,0,0
2,Humayun's Tomb,Delhi,Delhi,Northern,Tomb,Heritage,Historical,4.5,0.4,30,2.0,Yes,Yes,,Afternoon,1572,28.5932848,77.2507492,Cultural & Heritage Sites,0,7,0,0,0
3,Akshardham Temple,Delhi,Delhi,Northern,Temple,Religious,Religious,4.6,0.4,60,5.0,Yes,No,,Afternoon,2005,28.6126735,77.2772619,Religious & Spiritual Pilgrimages,0,5,0,0,0
4,Waste to Wonder Park,Delhi,Delhi,Northern,Theme Park,Nature,Environmental,4.1,0.27,50,2.0,Yes,Yes,Monday,Evening,2019,28.5926939,77.2569715,Adventure & Outdoor Activities,5,0,10,5,0
5,Jantar Mantar,Delhi,Delhi,Northern,Observatory,Culture,Scientific,4.2,0.31,15,2.0,Yes,Yes,,Morning,1724,28.6270547,77.2166267,"Arts, Science & Literature Attractions",0,7,0,0,0
6,Chandni Chowk,Delhi,Delhi,Northern,Market,Shopping,Market,4.2,0.25,0,3.0,Yes,Yes,Sunday,Afternoon,1700,28.6505331,77.230337,Shopping & Markets,0,0,0,0,7
7,Lotus Temple,Delhi,Delhi,Northern,Temple,Religious,Religious,4.5,0.59,0,1.0,Yes,Yes,Monday,Evening,1986,28.553492,77.2588264,Religious & Spiritual Pilgrimages,0,5,0,0,0
8,Red Fort,Delhi,Delhi,Northern,Fort,Heritage,Historical,4.5,1.5,35,2.0,Yes,Yes,,Afternoon,1648,28.6561592,77.2410203,Cultural & Heritage Sites,0,7,0,0,0
9,Agrasen ki Baoli,Delhi,Delhi,Northern,Stepwell,Heritage,Historical,4.2,0.41,0,1.0,Yes,Yes,,Afternoon,1400,28.626062,77.2250369,Cultural & Heritage Sites,0,7,0,0,0
10,Sunder Nursery,Delhi,Delhi,Northern,Park,Nature,Botanical,4.6,0.16,0,2.0,Yes,Yes,,Afternoon,1600,28.5956467,77.2451691,Natural Landscapes & Wildlife,3,0,10,5,0
11,Garden of Five Senses,Delhi,Delhi,Northern,Park,Nature,Botanical,4.1,0.23,35,2.0,Yes,Yes,,Morning,2003,28.513403,77.1975227,Natural Landscapes & Wildlife,3,0,10,5,0
12,Lodhi Garden,Delhi,Delhi,Northern,Park,Nature,Botanical,4.5,0.48,0,1.0,Yes,Yes,,All,1500,28.5936814,77.2218338,Natural Landscapes & Wildlife,3,0,10,5,0
13,National Gallery of Modern Art,Delhi,Delhi,Northern,Museum,Culture,Artistic,4.5,0.08,20,3.0,Yes,Yes,Monday,All,1954,28.6101926,77.2344179,"Arts, Science & Literature Attractions",0,7,0,0,0
14,National Zoological Park ,Delhi,Delhi,Northern,Zoo,Nature,Environmental,4.1,0.41,80,3.0,Yes,Yes,Friday,All,1959,38.9296156,77.0497844,Natural Landscapes & Wildlife,3,0,7,0,0
15,Qutub Minar,Delhi,Delhi,Northern,Monument,Heritage,Historical,4.5,1.37,35,1.0,Yes,Yes,,Afternoon,1192,28.5244946,77.1855177,Cultural & Heritage Sites,0,7,0,0,0
16,National Science Centre,Delhi,Delhi,Northern,Science,Culture,Scientific,4.4,0.23,70,5.0,Yes,Yes,,All,1992,28.6127836,77.2455584,"Arts, Science & Literature Attractions",0,7,0,0,0
17,Marine Drive,Mumbai,Maharastra,Western,Promenade,Scenic,Scenic,4.5,1.5,0,2.0,Yes,Yes,,Evening,Unknown,18.9432111,72.8229983,Sightseeing & Exploration,0,0,0,7,0
18,Gateway of India,Mumbai,Maharastra,Western,Monument,Heritage,Historical,4.6,3.6,0,1.0,Yes,Yes,,All,1924,18.9219841,72.8346543,Cultural & Heritage Sites,0,7,0,0,0
19,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,Maharastra,Western,Museum,Heritage,Historical,4.6,0.34,500,1.0,Yes,Yes,,All,1922,18.9269015,72.8326916,Cultural & Heritage Sites,0,7,0,0,0
20,Sanjay Gandhi National Park,Mumbai,Maharastra,Western,National Park,Wildlife,Wildlife,4.3,0.6,50,3.0,Yes,Yes,Monday,All,1996,,,,3,0,10,5,0
21,Siddhivinayak Temple,Mumbai,Maharastra,Western,Temple,Religious,Religious,4.8,1.05,0,2.0,Yes,No,,All,1881,19.01699,72.8303997,Religious & Spiritual Pilgrimages,0,5,0,0,0
22,Mahalaxmi Temple,Mumbai,Maharastra,Western,Temple,Religious,Religious,4.7,0.33,0,1.0,Yes,No,,All,1831,18.9773,72.8066,Religious & Spiritual Pilgrimages,0,5,0,0,0
23,Haji Ali Dargah,Mumbai,Maharastra,Western,Religious Shrine,Religious,Religious,4.4,0.16,0,2.0,Yes,No,,All,1431,18.9828273,72.8088966,Religious & Spiritual Pilgrimages,0,5,0,0,0
24,Chowpatty Beach,Mumbai,Maharastra,Western,Beach,Leisure,Recreational,4.3,0.05,0,2.0,Yes,Yes,,Evening,Unknown,18.9518622,72.8165592,Natural Landscapes & Wildlife,3,0,5,7,5
25,Essel World,Mumbai,Maharastra,Western,Amusement Park,Leisure,Recreational,4.3,0.27,1149,5.0,Yes,Yes,,All,1986,19.230098,72.8013252,Adventure & Outdoor Activities,5,0,3,7,5
26,Elephanta Caves,Mumbai,Maharastra,Western,Monument,Heritage,Historical,4.3,0.35,550,4.0,Yes,Yes,,All,1987,18.9633474,72.9314864,Cultural & Heritage Sites,0,7,0,0,0
27,Imagicaa,Lonavala,Maharastra,Western,Amusement Park,Leisure,Recreational,1.4,0.95,1149,5.0,No,Yes,Monday,All,2013,,,,0,0,3,7,5
28,Bangalore Palace,Bangalore,Karnataka,Southern,Palace,Heritage,Historical,4.2,0.9,500,2.0,Yes,Yes,Monday,Morning,1878,18.699917,73.3859496,Cultural & Heritage Sites,0,7,0,0,0
29,Lalbagh Botanical Garden,Bangalore,Karnataka,Southern,Botanical Garden,Nature,Nature,4.4,1.5,20,1.5,Yes,Yes,,Evening,1760,13.0035068,77.5890953,Natural Landscapes & Wildlife,3,0,10,5,0
30,Cubbon Park,Bangalore,Karnataka,Southern,Park,Nature,Nature,4.4,1.32,0,1.0,Yes,Yes,,Morning,1870,12.9494158,77.5846805,Natural Landscapes & Wildlife,3,0,10,5,0
31,Vidhana Soudha,Bangalore,Karnataka,Southern,Government Building,Heritage,Architectural,4.6,0.8,0,0.5,Yes,No,,Morning,1956,12.93349,77.5766285,Cultural & Heritage Sites,0,7,0,0,0
32,ISKCON Temple Bangalore,Bangalore,Karnataka,Southern,Temple,Religious,Religious,4.6,1.14,0,1.0,Yes,Yes,,Evening,1997,12.9796121,77.5908462,Religious & Spiritual Pilgrimages,0,5,0,0,0
33,Charminar,Hyderabad,Telangana,Southern,Landmark,Heritage,Historical,4.5,2.1,25,1.0,Yes,Yes,Friday,Morning,1591,13.0098328,77.5510964,Cultural & Heritage Sites,0,7,0,0,0
34,Golconda Fort,Hyderabad,Telangana,Southern,Fort,Heritage,Historical,4.4,1.2,30,2.0,Yes,Yes,,Morning,1600,17.3615636,78.4746645,Cultural & Heritage Sites,0,7,0,0,0
35,Hussain Sagar Lake,Hyderabad,Telangana,Southern,Lake,Scenic,Scenic,4.3,0.5,0,1.0,Yes,Yes,,Evening,1563,17.383309,78.4010528,Natural Landscapes & Wildlife,3,0,5,10,0
36,Ramoji Film City,Hyderabad,Telangana,Southern,Film Studio,Leisure,Entertainment,4.4,0.45,1150,4.0,Yes,Yes,,All,1996,17.4238798,78.4738215,"Arts, Science & Literature Attractions",0,5,0,2,5
37,Salar Jung Museum,Hyderabad,Telangana,Southern,Museum,Heritage,Historical,4.4,0.67,20,2.0,Yes,Yes,,All,1951,17.221713,78.284925,"Arts, Science & Literature Attractions",0,7,0,0,0
38,Qutb Shahi Tombs,Hyderabad,Telangana,Southern,Tombs,Heritage,Historical,4.4,0.2,25,1.0,Yes,Yes,,Morning,1600,17.3716084,78.4802439,Cultural & Heritage Sites,0,7,0,0,0
39,Birla Mandir,Hyderabad,Telangana,Southern,Temple,Religious,Religious,4.7,0.41,0,1.0,Yes,No,,All,1976,17.3628791,78.4741288,Religious & Spiritual Pilgrimages,0,5,0,0,0
40,Chowmahalla Palace,Hyderabad,Telangana,Southern,Palace,Heritage,Historical,4.4,0.45,80,1.5,Yes,Yes,,Morning,1800,17.212781,78.281814,Cultural & Heritage Sites,0,7,0,0,0
41,Nehru Zoological Park,Hyderabad,Telangana,Southern,Zoo,Wildlife,Wildlife,4.2,0.86,50,3.0,Yes,Yes,,Morning,1963,17.3578233,78.4716897,Natural Landscapes & Wildlife,3,0,7,0,0
42,Lumbini Park,Hyderabad,Telangana,Southern,Park,Leisure,Recreational,4.1,0.73,20,1.0,Yes,Yes,,Evening,1994,17.4458759,78.4186335,Natural Landscapes & Wildlife,3,0,8,7,5
43,Victoria Memorial,Kolkata,West Bengal,Eastern,Museum,Heritage,Historical,4.6,0.73,30,1.5,Yes,Yes,Monday,Morning,1921,17.4096811,78.4724344,Cultural & Heritage Sites,0,7,0,0,0
44,Howrah Bridge,Kolkata,West Bengal,Eastern,Bridge,Heritage,Architectural,4.6,1.2,0,0.5,Yes,No,,All,1943,22.5448082,88.3425578,Cultural & Heritage Sites,0,7,0,0,0
45,Indian Museum,Kolkata,West Bengal,Eastern,Museum,Heritage,Historical,4.6,0.18,50,2.0,Yes,Yes,Monday,Morning,1814,22.5851433,88.3468005,"Arts, Science & Literature Attractions",0,7,0,0,0
46,Dakshineswar Kali Temple,Kolkata,West Bengal,Eastern,Temple,Religious,Religious,4.7,0.82,0,1.0,Yes,Yes,,Morning,1855,22.5817406,88.3543972,Religious & Spiritual Pilgrimages,0,5,0,0,0
47,Kalighat Kali Temple,Kolkata,West Bengal,Eastern,Temple,Religious,Religious,4.4,0.5,0,1.0,Yes,Yes,,Morning,1809,22.6549087,88.3575307,Religious & Spiritual Pilgrimages,0,5,0,0,0
48,Eden Gardens,Kolkata,West Bengal,Eastern,Cricket Ground,Adventure,Sports,4.1,0.1,2500,3.0,Yes,Yes,,All,1864,22.5202798,88.3420877,Sports & Recreation,7,0,0,0,0
49,Alipore Zoological Gardens,Kolkata,West Bengal,Eastern,Zoo,Wildlife,Wildlife,4.3,0.66,25,2.0,Yes,Yes,,Afternoon,1876,22.5646081,88.3432645,Natural Landscapes & Wildlife,3,0,7,0,0
50,Science City Kolkata,Kolkata,West Bengal,Eastern,Science,Culture,Educational,4.4,0.88,60,3.0,Yes,Yes,,All,1997,22.5370343,88.3316697,"Arts, Science & Literature Attractions",0,7,0,0,0
51,Belur Math,Kolkata,West Bengal,Eastern,Site,Religious,Religious,4.7,0.47,0,1.5,Yes,Yes,,Morning,1898,22.5401381,88.3960564,Religious & Spiritual Pilgrimages,0,5,0,0,0
52,Marble Palace,Kolkata,West Bengal,Eastern,Palace,Heritage,Historical,4.4,0.1,0,1.0,Yes,Yes,,Afternoon,1835,22.6326565,88.3563815,Cultural & Heritage Sites,0,7,0,0,0
53,Calangute Beach,Goa,Goa,Southern,Beach,Scenic,Scenic,4.4,0.26,0,2.0,Yes,Yes,,Evening,Unknown,,,,0,0,0,7,0
54,Basilica of Bom Jesus,Goa,Goa,Southern,Church,Heritage,Historical,4.5,0.59,0,1.0,Yes,Yes,,Afternoon,1605,15.5008,73.9114,Religious & Spiritual Pilgrimages,0,10,0,0,0
55,Fort Aguada,Goa,Goa,Southern,Fort,Heritage,Historical,4.2,0.95,0,1.5,Yes,Yes,,Morning,1612,15.5008238,73.9114061,Cultural & Heritage Sites,0,7,0,0,0
56,Dudhsagar Falls,Goa,Goa,Southern,Waterfall,Nature,Nature,4.6,0.3,500,3.0,Yes,Yes,,Afternoon,Unknown,15.4922519,73.7737462,Natural Landscapes & Wildlife,3,0,7,3,0
57,Anjuna Beach,Goa,Goa,Southern,Beach,Scenic,Scenic,4.4,0.18,0,2.0,Yes,Yes,,Evening,Unknown,15.3144375,74.3143073,Adventure & Outdoor Activities,5,0,0,7,0
58,Chapora Fort,Goa,Goa,Southern,Fort,Heritage,Historical,4.2,0.19,0,1.0,Yes,Yes,,Evening,1617,15.5733497,73.7409781,Cultural & Heritage Sites,0,7,0,0,0
59,Se Cathedral,Goa,Goa,Southern,Church,Heritage,Historical,4.5,0.05,0,1.0,Yes,Yes,,Afternoon,1640,15.6046375,73.7369631,Religious & Spiritual Pilgrimages,0,10,0,0,0
60,Baga Beach,Goa,Goa,Southern,Beach,Scenic,Scenic,4.5,0.35,0,2.0,Yes,Yes,,Evening,Unknown,15.5038769,73.9121918,Natural Landscapes & Wildlife,3,0,5,7,0
61,Arambol Beach,Goa,Goa,Southern,Beach,Scenic,Scenic,4.6,0.1,0,2.0,Yes,Yes,,Evening,Unknown,15.501984,73.9100068,Natural Landscapes & Wildlife,3,0,5,7,0
